                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8227,                  2.488,                  1.064,                0.36134,                0.15757,                0.11746,                0.06191,                 1.6887,                 1.5532,                   1.01,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7317,                 1.6244,                 1.0192,                0.21574,                0.18647,                0.14876,                0.07891,                 1.6945,                 1.4585,                0.99074,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.7446,                 1.5558,                 1.0125,                0.24376,                 0.1981,                 0.1582,                0.08595,                  1.681,                 1.4292,                 1.0064,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.7208,                 1.4877,                 1.0055,                0.28818,                0.21535,                0.19595,                0.10713,                 1.6254,                 1.3567,                0.97897,               0.009703,               0.009703,               0.009703
                      5,                 1.6825,                  1.426,                 0.9942,                0.28366,                0.22625,                0.20028,                0.10985,                 1.6268,                 1.2908,                0.97923,               0.009604,               0.009604,               0.009604
                      6,                 1.6553,                 1.3712,                0.98362,                0.30636,                0.23291,                 0.2135,                0.11802,                 1.5948,                 1.2729,                0.96505,               0.009505,               0.009505,               0.009505
                      7,                 1.6185,                 1.3291,                0.97916,                0.29605,                0.25016,                0.21774,                0.12035,                  1.539,                 1.2442,                0.95966,               0.009406,               0.009406,               0.009406
                      8,                 1.6031,                 1.2993,                0.97112,                0.33094,                 0.2473,                0.23147,                0.12916,                 1.5343,                 1.2209,                0.96253,               0.009307,               0.009307,               0.009307
                      9,                 1.5869,                 1.2781,                0.96847,                0.33287,                0.26427,                0.23995,                0.13407,                 1.5134,                 1.1817,                0.95293,               0.009208,               0.009208,               0.009208
                     10,                 1.5723,                 1.2486,                0.96657,                0.33995,                0.26544,                0.24213,                0.13695,                 1.4904,                 1.1743,                0.94592,               0.009109,               0.009109,               0.009109
                     11,                 1.5511,                 1.2322,                 0.9609,                0.34063,                0.27188,                0.24523,                0.13894,                 1.4814,                 1.1538,                 0.9468,                0.00901,                0.00901,                0.00901
                     12,                 1.5463,                 1.2128,                0.95896,                0.36272,                0.27256,                0.25665,                0.14416,                 1.4851,                 1.1445,                 0.9432,               0.008911,               0.008911,               0.008911
                     13,                 1.5397,                 1.1991,                0.95564,                0.34656,                0.27165,                0.25293,                0.14341,                 1.4899,                 1.1661,                0.94238,               0.008812,               0.008812,               0.008812
                     14,                 1.5161,                 1.1775,                0.95083,                0.36729,                0.27478,                 0.2635,                0.14854,                 1.4787,                 1.1312,                0.94311,               0.008713,               0.008713,               0.008713
                     15,                 1.5221,                 1.1736,                0.95244,                0.38204,                0.27791,                0.26653,                0.15182,                 1.4618,                 1.1141,                0.93795,               0.008614,               0.008614,               0.008614
                     16,                 1.5165,                 1.1678,                0.95028,                0.36903,                0.28492,                0.27266,                0.15559,                 1.4581,                  1.105,                0.93744,               0.008515,               0.008515,               0.008515
                     17,                 1.4965,                 1.1485,                0.94906,                0.36799,                0.28029,                0.27067,                0.15388,                 1.4554,                 1.1134,                0.93685,               0.008416,               0.008416,               0.008416
                     18,                 1.5058,                 1.1442,                0.94631,                0.39178,                0.28612,                0.27682,                0.15689,                 1.4396,                  1.087,                0.93462,               0.008317,               0.008317,               0.008317
                     19,                  1.494,                 1.1376,                0.94527,                0.37766,                0.28809,                0.27619,                 0.1568,                 1.4414,                 1.0977,                0.93648,               0.008218,               0.008218,               0.008218
                     20,                 1.4874,                 1.1253,                0.94569,                0.38427,                0.29243,                0.27833,                0.15863,                 1.4412,                 1.0838,                0.93117,               0.008119,               0.008119,               0.008119
                     21,                 1.4794,                 1.1217,                0.94181,                0.39568,                0.28818,                0.27659,                0.15538,                 1.4349,                 1.0889,                0.93419,                0.00802,                0.00802,                0.00802
                     22,                 1.4743,                 1.1113,                0.93964,                0.38417,                0.29807,                0.28594,                0.16137,                 1.4297,                 1.0689,                0.93191,               0.007921,               0.007921,               0.007921
                     23,                 1.4699,                 1.1028,                0.93909,                0.39817,                0.29702,                0.28851,                0.16351,                 1.4272,                 1.0769,                0.93227,               0.007822,               0.007822,               0.007822
                     24,                 1.4666,                 1.1001,                0.93698,                 0.3885,                0.29781,                 0.2872,                0.16417,                 1.4071,                  1.059,                0.92663,               0.007723,               0.007723,               0.007723
                     25,                 1.4512,                  1.091,                0.93755,                 0.3782,                0.30183,                0.28291,                0.15996,                 1.4234,                 1.0783,                0.92506,               0.007624,               0.007624,               0.007624
                     26,                 1.4601,                 1.0913,                0.93784,                0.39973,                0.30378,                0.29175,                0.16779,                  1.406,                 1.0576,                0.92668,               0.007525,               0.007525,               0.007525
                     27,                 1.4488,                 1.0846,                 0.9345,                 0.3839,                0.29619,                 0.2875,                0.16217,                 1.4236,                 1.0758,                0.92807,               0.007426,               0.007426,               0.007426
                     28,                 1.4508,                 1.0813,                0.93433,                 0.3883,                0.30273,                0.29257,                0.16799,                 1.4051,                 1.0557,                0.92451,               0.007327,               0.007327,               0.007327
                     29,                 1.4472,                 1.0709,                0.93308,                0.40018,                0.30106,                0.29273,                0.16704,                 1.4158,                 1.0549,                0.92773,               0.007228,               0.007228,               0.007228
                     30,                 1.4462,                 1.0639,                0.93196,                0.40149,                0.30313,                0.29738,                0.17043,                 1.4024,                  1.047,                0.92447,               0.007129,               0.007129,               0.007129
                     31,                 1.4449,                 1.0687,                0.93318,                0.38917,                0.29991,                0.29509,                0.16974,                 1.3961,                 1.0465,                0.92395,                0.00703,                0.00703,                0.00703
                     32,                 1.4299,                 1.0576,                0.92819,                0.40625,                0.30687,                0.30068,                0.17223,                 1.3977,                 1.0401,                0.92437,               0.006931,               0.006931,               0.006931
                     33,                 1.4308,                  1.054,                0.92788,                0.40168,                0.31361,                0.30435,                0.17416,                 1.3966,                 1.0319,                 0.9226,               0.006832,               0.006832,               0.006832
                     34,                 1.4293,                 1.0502,                0.92698,                0.39666,                0.31745,                0.30056,                0.17234,                 1.3871,                 1.0336,                0.91907,               0.006733,               0.006733,               0.006733
                     35,                 1.4241,                 1.0452,                0.92634,                0.41252,                0.31103,                0.30798,                0.17736,                 1.3833,                 1.0281,                0.91962,               0.006634,               0.006634,               0.006634
                     36,                 1.4212,                 1.0424,                0.92925,                0.40112,                0.30446,                 0.2999,                0.17331,                 1.3853,                 1.0341,                 0.9203,               0.006535,               0.006535,               0.006535
                     37,                 1.4204,                 1.0382,                0.92589,                0.39817,                0.32013,                0.30654,                0.17593,                 1.3797,                  1.021,                0.91978,               0.006436,               0.006436,               0.006436
                     38,                 1.4203,                 1.0353,                0.92698,                 0.4071,                0.31647,                0.30642,                0.17559,                 1.3875,                 1.0273,                 0.9206,               0.006337,               0.006337,               0.006337
                     39,                 1.4168,                 1.0348,                0.92517,                0.41034,                0.31538,                0.30865,                0.17775,                  1.383,                 1.0197,                0.91843,               0.006238,               0.006238,               0.006238
                     40,                  1.412,                 1.0287,                0.92564,                0.40012,                0.31432,                0.30244,                0.17528,                 1.3744,                 1.0224,                0.91769,               0.006139,               0.006139,               0.006139
                     41,                 1.4158,                 1.0284,                0.92405,                0.40778,                0.31975,                0.30831,                0.17613,                 1.3815,                 1.0154,                0.91888,                0.00604,                0.00604,                0.00604
                     42,                 1.4017,                 1.0199,                0.92246,                0.40719,                0.31652,                0.30806,                0.17716,                 1.3734,                  1.013,                0.91775,               0.005941,               0.005941,               0.005941
                     43,                 1.3984,                 1.0169,                0.92054,                0.40263,                0.31713,                0.30617,                0.17529,                 1.3758,                 1.0167,                0.91786,               0.005842,               0.005842,               0.005842
                     44,                 1.3944,                 1.0101,                 0.9213,                0.40305,                0.32078,                0.31093,                0.18044,                 1.3716,                  1.007,                0.91604,               0.005743,               0.005743,               0.005743
                     45,                 1.4078,                 1.0182,                0.92136,                0.40795,                0.32182,                0.31098,                0.18036,                 1.3692,                 1.0072,                0.91524,               0.005644,               0.005644,               0.005644
                     46,                 1.3958,                 1.0097,                0.92119,                0.41023,                0.32428,                 0.3162,                0.18308,                 1.3643,                 1.0022,                0.91587,               0.005545,               0.005545,               0.005545
                     47,                 1.3919,                 1.0096,                0.92132,                0.41176,                0.32319,                0.31385,                0.18123,                 1.3684,                 1.0051,                0.91426,               0.005446,               0.005446,               0.005446
                     48,                 1.3921,                 1.0097,                0.92126,                0.40892,                0.32283,                0.31568,                0.18233,                 1.3588,                0.99958,                0.91405,               0.005347,               0.005347,               0.005347
                     49,                 1.3918,                 1.0008,                0.92045,                 0.4228,                0.31583,                0.31535,                 0.1822,                 1.3672,                 0.9972,                0.91442,               0.005248,               0.005248,               0.005248
                     50,                 1.3943,                 1.0022,                 0.9191,                 0.4355,                0.32462,                0.32043,                0.18421,                 1.3646,                0.99904,                0.91514,               0.005149,               0.005149,               0.005149
                     51,                 1.3906,                0.99519,                0.91857,                0.42004,                0.32631,                0.32087,                0.18621,                  1.358,                0.99975,                0.91277,                0.00505,                0.00505,                0.00505
                     52,                 1.3764,                0.98872,                 0.9192,                0.42402,                0.32688,                0.31907,                0.18444,                 1.3569,                0.99031,                0.91362,               0.004951,               0.004951,               0.004951
                     53,                 1.3824,                0.99063,                0.91706,                0.41979,                0.32624,                0.31887,                0.18452,                 1.3617,                0.99469,                0.91412,               0.004852,               0.004852,               0.004852
                     54,                 1.3885,                0.99673,                0.91755,                0.42002,                0.32866,                0.31831,                0.18323,                  1.353,                0.99349,                0.91175,               0.004753,               0.004753,               0.004753
                     55,                 1.3804,                0.98948,                0.91625,                0.42559,                0.32764,                0.31926,                 0.1845,                 1.3523,                0.98911,                0.91189,               0.004654,               0.004654,               0.004654
                     56,                 1.3775,                0.98416,                0.91667,                0.41987,                0.32975,                0.32078,                0.18397,                 1.3535,                0.98772,                0.91294,               0.004555,               0.004555,               0.004555
                     57,                 1.3767,                0.98333,                0.91686,                0.41513,                0.33031,                0.32234,                 0.1862,                 1.3532,                0.98277,                0.91091,               0.004456,               0.004456,               0.004456
                     58,                   1.37,                0.97498,                0.91485,                0.42401,                0.33457,                0.32152,                0.18586,                 1.3472,                0.98364,                 0.9108,               0.004357,               0.004357,               0.004357
                     59,                 1.3667,                0.97665,                0.91498,                0.42701,                0.32972,                0.32359,                0.18652,                 1.3528,                0.98523,                0.91215,               0.004258,               0.004258,               0.004258
                     60,                 1.3689,                0.97263,                0.91493,                0.41751,                0.32739,                0.32165,                0.18707,                 1.3478,                0.97942,                0.91097,               0.004159,               0.004159,               0.004159
                     61,                  1.368,                0.96995,                0.91359,                0.42665,                0.32764,                0.32267,                0.18751,                 1.3449,                0.97782,                0.91062,                0.00406,                0.00406,                0.00406
                     62,                 1.3625,                0.97035,                0.91257,                0.42934,                0.33178,                0.32558,                0.18959,                 1.3443,                0.98187,                0.91032,               0.003961,               0.003961,               0.003961
                     63,                 1.3651,                0.96777,                0.91199,                 0.4143,                0.33312,                0.32426,                0.18867,                 1.3428,                 0.9786,                0.91043,               0.003862,               0.003862,               0.003862
                     64,                  1.374,                 0.9724,                0.91318,                0.42497,                0.33339,                0.32511,                0.18923,                 1.3438,                0.97591,                0.90938,               0.003763,               0.003763,               0.003763
                     65,                 1.3619,                0.96676,                0.91196,                0.43083,                0.33496,                0.32686,                0.18935,                 1.3419,                0.97306,                0.90869,               0.003664,               0.003664,               0.003664
                     66,                 1.3662,                0.96378,                0.91214,                 0.4382,                0.33525,                0.32985,                0.19136,                 1.3428,                 0.9728,                0.90925,               0.003565,               0.003565,               0.003565
                     67,                 1.3599,                0.96083,                0.91256,                0.42672,                0.34213,                0.33124,                0.19263,                 1.3393,                0.96734,                0.90907,               0.003466,               0.003466,               0.003466
                     68,                 1.3553,                0.95496,                0.91076,                0.42357,                0.33927,                0.32972,                0.19182,                 1.3377,                0.96769,                0.90941,               0.003367,               0.003367,               0.003367
                     69,                 1.3557,                0.95419,                0.91055,                0.42406,                0.34157,                0.33185,                0.19322,                 1.3379,                0.96484,                0.90889,               0.003268,               0.003268,               0.003268
                     70,                 1.3467,                0.94818,                 0.9085,                0.42717,                0.33437,                0.32869,                0.19148,                 1.3409,                 0.9692,                0.90846,               0.003169,               0.003169,               0.003169
                     71,                 1.3506,                0.94732,                0.90817,                0.42604,                0.33677,                0.33196,                0.19336,                 1.3365,                0.96432,                 0.9072,                0.00307,                0.00307,                0.00307
                     72,                 1.3406,                0.94446,                0.90919,                0.43243,                 0.3342,                0.33181,                0.19365,                 1.3375,                0.96159,                0.90789,               0.002971,               0.002971,               0.002971
                     73,                 1.3435,                0.94444,                0.90797,                 0.4456,                 0.3283,                0.33103,                0.19234,                 1.3385,                0.96732,                0.90741,               0.002872,               0.002872,               0.002872
                     74,                 1.3519,                0.94523,                0.90867,                0.43757,                0.33052,                0.33148,                 0.1925,                 1.3401,                0.96627,                0.90804,               0.002773,               0.002773,               0.002773
                     75,                 1.3395,                0.93975,                0.90586,                 0.4342,                0.33392,                0.33154,                0.19272,                 1.3356,                0.96147,                0.90688,               0.002674,               0.002674,               0.002674
                     76,                 1.3442,                0.93798,                0.90668,                0.43316,                0.33712,                0.33058,                0.19271,                 1.3336,                0.96304,                0.90707,               0.002575,               0.002575,               0.002575
                     77,                 1.3358,                0.93282,                0.90661,                0.42719,                0.34316,                0.33221,                0.19357,                 1.3357,                0.96117,                0.90714,               0.002476,               0.002476,               0.002476
                     78,                 1.3361,                0.93604,                0.90619,                0.42446,                0.34276,                0.33207,                0.19211,                 1.3351,                0.96095,                0.90693,               0.002377,               0.002377,               0.002377
                     79,                  1.335,                0.92576,                0.90671,                0.43194,                0.34006,                0.33371,                 0.1934,                 1.3356,                0.96034,                0.90688,               0.002278,               0.002278,               0.002278
                     80,                 1.3282,                 0.9241,                0.90469,                0.42789,                 0.3409,                0.33265,                0.19277,                 1.3339,                0.96056,                0.90707,               0.002179,               0.002179,               0.002179
                     81,                 1.3337,                0.92934,                 0.9061,                0.43154,                0.33701,                 0.3332,                0.19348,                 1.3317,                0.95844,                0.90627,                0.00208,                0.00208,                0.00208
                     82,                  1.325,                0.92284,                0.90285,                0.42946,                0.33971,                0.33346,                0.19359,                 1.3316,                 0.9589,                0.90623,               0.001981,               0.001981,               0.001981
                     83,                 1.3301,                0.92057,                0.90398,                0.42754,                0.34108,                0.33266,                0.19344,                 1.3349,                0.95878,                 0.9073,               0.001882,               0.001882,               0.001882
